tourney_date,tourney_name,surface,winner_name,loser_name,score,winner_rank,loser_rank,winner_age,loser_age,winner_ht,loser_ht,winner_hand,loser_hand,winner_rank_points,loser_rank_points
20251109,Tour Finals,Hard,Jannik Sinner,Carlos Alcaraz,7-6(4) 7-5,2,1,24.23,22.52,191,183,R,R,0,0
20251109,Tour Finals,Hard,Jannik Sinner,Alex De Minaur,7-5 6-2,2,7,24.23,26.73,191,183,R,R,0,0
20251109,Tour Finals,Hard,Jannik Sinner,Alexander Zverev,6-4 6-3,2,3,24.23,28.56,191,198,R,R,0,0
20251109,Tour Finals,Hard,Jannik Sinner,Ben Shelton,6-3 7-6(3),2,5,24.23,23.09,191,193,R,L,0,0
20251109,Tour Finals,Hard,Jannik Sinner,Felix Auger Aliassime,7-5 6-1,2,8,24.23,25.25,191,193,R,R,0,0
20251027,Paris Masters,Hard,Jannik Sinner,Felix Auger Aliassime,6-4 7-6(4),2,10,24.2,25.22,191,193,R,R,0,0
20251027,Paris Masters,Hard,Jannik Sinner,Alexander Zverev,6-0 6-1,2,3,24.2,28.52,191,198,R,R,0,0
20251027,Paris Masters,Hard,Jannik Sinner,Ben Shelton,6-3 6-3,2,7,24.2,23.05,191,193,R,L,0,0
20251027,Paris Masters,Hard,Jannik Sinner,Francisco Cerundolo,7-5 6-1,2,21,24.2,27.21,191,185,R,R,0,0
20251027,Paris Masters,Hard,Jannik Sinner,Zizou Bergs,6-4 6-2,2,41,24.2,26.4,191,185,R,R,0,0
20251020,Vienna,Hard,Jannik Sinner,Alexander Zverev,3-6 6-3 7-5,2,3,24.18,28.5,191,198,R,R,0,0
20251020,Vienna,Hard,Jannik Sinner,Alex De Minaur,6-3 6-4,2,7,24.18,26.67,191,183,R,R,0,0
20251020,Vienna,Hard,Jannik Sinner,Alexander Bublik,6-4 6-4,2,16,24.18,28.34,191,196,R,R,0,0
20251020,Vienna,Hard,Jannik Sinner,Flavio Cobolli,6-2 7-6(4),2,22,24.18,23.46,191,183,R,R,0,0
20251020,Vienna,Hard,Jannik Sinner,Daniel Altmaier,6-0 6-2,2,51,24.18,27.1,191,188,R,R,0,0
20251001,Shanghai Masters,Hard,Tallon Griekspoor,Jannik Sinner,6-7(3) 7-5 3-2 RET,31,2,29.25,24.13,188,191,R,R,0,0
20251001,Shanghai Masters,Hard,Jannik Sinner,Daniel Altmaier,6-3 6-3,2,49,24.13,27.05,191,188,R,R,0,0
20250925,Beijing,Hard,Jannik Sinner,Learner Tien,6-2 6-2,2,52,24.11,19.81,191,180,R,L,0,0
20250925,Beijing,Hard,Jannik Sinner,Alex De Minaur,6-3 4-6 6-2,2,8,24.11,26.6,191,183,R,R,0,0
20250925,Beijing,Hard,Jannik Sinner,Fabian Marozsan,6-1 7-5,2,57,24.11,25.97,191,193,R,R,0,0
20250925,Beijing,Hard,Jannik Sinner,Terence Atmane,6-4 5-7 6-0,2,68,24.11,23.71,191,193,R,L,0,0
20250925,Beijing,Hard,Jannik Sinner,Marin Cilic,6-2 6-2,2,97,24.11,36.99,191,198,R,R,0,0
20250825,US Open,Hard,Carlos Alcaraz,Jannik Sinner,6-2 3-6 6-1 6-4,2,1,22.31,24.02,183,191,R,R,0,0
20250825,US Open,Hard,Jannik Sinner,Felix Auger Aliassime,6-1 3-6 6-3 6-4,1,27,24.02,25.05,191,193,R,R,0,0
20250825,US Open,Hard,Jannik Sinner,Lorenzo Musetti,6-1 6-4 6-2,1,10,24.02,23.48,191,185,R,R,0,0
20250825,US Open,Hard,Jannik Sinner,Alexander Bublik,6-1 6-1 6-1,1,24,24.02,28.19,191,196,R,R,0,0
20250825,US Open,Hard,Jannik Sinner,Denis Shapovalov,5-7 6-4 6-3 6-3,1,29,24.02,26.36,191,185,R,L,0,0
20250825,US Open,Hard,Jannik Sinner,Alexei Popyrin,6-3 6-2 6-2,1,36,24.02,26.06,191,196,R,R,0,0
20250825,US Open,Hard,Jannik Sinner,Vit Kopriva,6-1 6-1 6-2,1,89,24.02,28.19,191,178,R,R,0,0
20250807,Cincinnati Masters,Hard,Carlos Alcaraz,Jannik Sinner,5-0 RET,2,1,22.26,23.98,183,191,R,R,0,0
20250807,Cincinnati Masters,Hard,Jannik Sinner,Terence Atmane,7-6(4) 6-2,1,136,23.98,23.58,191,193,R,L,0,0
20250807,Cincinnati Masters,Hard,Jannik Sinner,Felix Auger Aliassime,6-0 6-2,1,28,23.98,25.0,191,193,R,R,0,0
20250807,Cincinnati Masters,Hard,Jannik Sinner,Adrian Mannarino,6-4 7-6(4),1,89,23.98,37.11,191,180,R,L,0,0
20250807,Cincinnati Masters,Hard,Jannik Sinner,Gabriel Diallo,6-2 7-6(6),1,35,23.98,23.87,191,203,R,R,0,0
20250807,Cincinnati Masters,Hard,Jannik Sinner,Daniel Elahi Galan,6-1 6-1,1,144,23.98,29.14,191,191,R,R,0,0
20250630,Wimbledon,Grass,Jannik Sinner,Carlos Alcaraz,4-6 6-4 6-4 6-4,1,2,23.87,22.15,191,183,R,R,0,0
20250630,Wimbledon,Grass,Jannik Sinner,Novak Djokovic,6-3 6-3 6-4,1,6,23.87,38.11,191,188,R,R,0,0
20250630,Wimbledon,Grass,Jannik Sinner,Ben Shelton,7-6(2) 6-4 6-4,1,10,23.87,22.72,191,193,R,L,0,0
20250630,Wimbledon,Grass,Jannik Sinner,Grigor Dimitrov,3-6 5-7 2-2 RET,1,21,23.87,34.12,191,191,R,R,0,0
20250630,Wimbledon,Grass,Jannik Sinner,Pedro Martinez,6-1 6-3 6-1,1,52,23.87,28.18,191,185,R,R,0,0
20250630,Wimbledon,Grass,Jannik Sinner,Aleksandar Vukic,6-1 6-1 6-3,1,93,23.87,29.23,191,188,R,R,0,0
20250630,Wimbledon,Grass,Jannik Sinner,Luca Nardi,6-4 6-3 6-0,1,95,23.87,21.9,191,185,R,R,0,0
20250616,Halle,Grass,Alexander Bublik,Jannik Sinner,3-6 6-3 6-4,45,1,28.0,23.83,196,191,R,R,0,0
20250616,Halle,Grass,Jannik Sinner,Yannick Hanfmann,7-5 6-3,1,138,23.83,33.59,191,193,R,R,0,0
20250526,Roland Garros,Clay,Carlos Alcaraz,Jannik Sinner,4-6 6-7(4) 6-4 7-6(3) 7-6(2),2,1,22.06,23.78,183,191,R,R,0,0
20250526,Roland Garros,Clay,Jannik Sinner,Novak Djokovic,6-4 7-5 7-6(3),1,6,23.78,38.01,191,188,R,R,0,0
20250526,Roland Garros,Clay,Jannik Sinner,Alexander Bublik,6-1 7-5 6-0,1,62,23.78,27.94,191,196,R,R,0,0
20250526,Roland Garros,Clay,Jannik Sinner,Andrey Rublev,6-1 6-3 6-4,1,15,23.78,27.6,191,188,R,R,0,0
20250526,Roland Garros,Clay,Jannik Sinner,Jiri Lehecka,6-0 6-1 6-2,1,34,23.78,23.55,191,185,R,R,0,0
20250526,Roland Garros,Clay,Jannik Sinner,Richard Gasquet,6-3 6-0 6-4,1,166,23.78,38.94,191,183,R,R,0,0
20250526,Roland Garros,Clay,Jannik Sinner,Arthur Rinderknech,6-4 6-3 7-5,1,75,23.78,29.84,191,196,R,R,0,0
20250507,Rome Masters,Clay,Carlos Alcaraz,Jannik Sinner,7-6(5) 6-1,3,1,22.01,23.72,183,191,R,R,0,0
20250507,Rome Masters,Clay,Jannik Sinner,Tommy Paul,1-6 6-0 6-3,1,12,23.72,27.97,191,185,R,R,0,0
20250507,Rome Masters,Clay,Jannik Sinner,Casper Ruud,6-0 6-1,1,7,23.72,26.37,191,183,R,R,0,0
20250507,Rome Masters,Clay,Jannik Sinner,Francisco Cerundolo,7-6(2) 6-3,1,18,23.72,26.73,191,185,R,R,0,0
20250507,Rome Masters,Clay,Jannik Sinner,Jesper De Jong,6-4 6-2,1,93,23.72,24.93,191,180,R,R,0,0
20250507,Rome Masters,Clay,Jannik Sinner,Mariano Navone,6-3 6-4,1,99,23.72,24.19,191,178,R,R,0,0
20250113,Australian Open,Hard,Jannik Sinner,Alexander Zverev,6-3 7-6(4) 6-3,1,2,23.41,27.73,191,198,R,R,0,0
20250113,Australian Open,Hard,Jannik Sinner,Ben Shelton,7-6(2) 6-2 6-2,1,20,23.41,22.26,191,193,R,L,0,0
20250113,Australian Open,Hard,Jannik Sinner,Alex De Minaur,6-3 6-2 6-1,1,8,23.41,25.91,191,183,R,R,0,0
20250113,Australian Open,Hard,Jannik Sinner,Holger Rune,6-3 3-6 6-3 6-2,1,13,23.41,21.71,191,188,R,R,0,0
20250113,Australian Open,Hard,Jannik Sinner,Marcos Giron,6-3 6-4 6-2,1,46,23.41,31.47,191,180,R,R,0,0
20250113,Australian Open,Hard,Jannik Sinner,Tristan Schoolkate,4-6 6-4 6-1 6-3,1,173,23.41,23.88,191,183,R,R,0,0
20250113,Australian Open,Hard,Jannik Sinner,Nicolas Jarry,7-6(2) 7-6(5) 6-1,1,36,23.41,29.26,191,201,R,R,0,0
20251109,Tour Finals,Hard,Carlos Alcaraz,Felix Auger Aliassime,6-2 6-4,1,8,22.52,25.25,183,193,R,R,0,0
20251109,Tour Finals,Hard,Carlos Alcaraz,Lorenzo Musetti,6-4 6-1,1,9,22.52,23.69,183,185,R,R,0,0
20251109,Tour Finals,Hard,Carlos Alcaraz,Taylor Fritz,6-7(2) 7-5 6-3,1,6,22.52,28.03,183,196,R,R,0,0
20251109,Tour Finals,Hard,Carlos Alcaraz,Alex De Minaur,7-6(5) 6-2,1,7,22.52,26.73,183,183,R,R,0,0
20251027,Paris Masters,Hard,Cameron Norrie,Carlos Alcaraz,4-6 6-3 6-4,31,1,30.18,22.48,188,183,L,R,0,0
20250924,Tokyo,Hard,Carlos Alcaraz,Taylor Fritz,6-4 6-4,1,5,22.39,27.91,183,196,R,R,0,0
20250924,Tokyo,Hard,Carlos Alcaraz,Casper Ruud,3-6 6-3 6-4,1,12,22.39,26.76,183,183,R,R,0,0
20250924,Tokyo,Hard,Carlos Alcaraz,Brandon Nakashima,6-2 6-4,1,33,22.39,24.14,183,188,R,R,0,0
20250924,Tokyo,Hard,Carlos Alcaraz,Zizou Bergs,6-4 6-3,1,45,22.39,26.31,183,185,R,R,0,0
20250924,Tokyo,Hard,Carlos Alcaraz,Sebastian Baez,6-4 6-2,1,41,22.39,24.74,183,170,R,R,0,0
20250919,Laver Cup,Hard,Taylor Fritz,Carlos Alcaraz,6-3 6-2,5,1,27.89,22.38,196,183,R,R,0,0
20250919,Laver Cup,Hard,Carlos Alcaraz,Francisco Cerundolo,6-2 6-1,1,21,22.38,27.1,183,185,R,R,0,0
20250825,US Open,Hard,Carlos Alcaraz,Novak Djokovic,6-4 7-6(4) 6-2,2,7,22.31,38.26,183,188,R,R,0,0
20250825,US Open,Hard,Carlos Alcaraz,Jiri Lehecka,6-4 6-2 6-4,2,21,22.31,23.79,183,185,R,R,0,0
20250825,US Open,Hard,Carlos Alcaraz,Arthur Rinderknech,7-6(3) 6-3 6-4,2,82,22.31,30.09,183,196,R,R,0,0
20250825,US Open,Hard,Carlos Alcaraz,Luciano Darderi,6-2 6-4 6-0,2,34,22.31,23.53,183,183,R,R,0,0
20250825,US Open,Hard,Carlos Alcaraz,Mattia Bellucci,6-1 6-0 6-3,2,65,22.31,24.23,183,175,R,L,0,0
20250825,US Open,Hard,Carlos Alcaraz,Reilly Opelka,6-4 7-5 6-4,2,67,22.31,27.99,183,211,R,R,0,0
20250807,Cincinnati Masters,Hard,Carlos Alcaraz,Alexander Zverev,6-4 6-3,2,3,22.26,28.3,183,198,R,R,0,0
20250807,Cincinnati Masters,Hard,Carlos Alcaraz,Andrey Rublev,6-3 4-6 7-5,2,11,22.26,27.8,183,188,R,R,0,0
